"chapter_id","manga_id","chapter_number","volume","title","lang","pages","created_at"
"281e4f30-d7fb-492f-8937-00bb828b28b7","882b1e22-ac83-4613-b8f1-7c48138fa584","38","6","","en","33","2018-04-10T22:43:47+00:00"
"23152ce9-e6f3-48f4-83c4-8080dcda11d4","882b1e22-ac83-4613-b8f1-7c48138fa584","39.3","","Side Story Chapter 3","en","24","2018-04-10T23:37:37+00:00"
"6101d0a0-b7ca-4639-94b0-c129533dc40c","882b1e22-ac83-4613-b8f1-7c48138fa584","4.5","1","","uk","26","2023-12-21T18:51:14+00:00"
"cd8e01f8-56e0-4454-b8a0-f8d502ff5015","882b1e22-ac83-4613-b8f1-7c48138fa584","4","1","","en","27","2018-04-10T22:48:35+00:00"
"68dcd756-a2dc-4ba3-b0a4-8d5eca58c07d","882b1e22-ac83-4613-b8f1-7c48138fa584","13","2","Overthrowing a Tyrunt","en","26","2020-05-09T19:19:14+00:00"
"6c7a8538-cc94-4e81-a85b-4b2a0d392abe","882b1e22-ac83-4613-b8f1-7c48138fa584","39.5","","Side Story Chapter 5","en","25","2018-04-10T23:38:01+00:00"
"3abdf949-ce88-442b-8f36-183dc2c16de2","882b1e22-ac83-4613-b8f1-7c48138fa584","36","6","","en","27","2018-04-10T22:43:27+00:00"
"acb148c1-7918-4998-bbc3-ad11c22fc4d6","882b1e22-ac83-4613-b8f1-7c48138fa584","35","6","","en","26","2018-04-10T22:43:19+00:00"
"7e0e843f-2c14-4c54-a8a6-2675f1e574ec","882b1e22-ac83-4613-b8f1-7c48138fa584","23","4","Gyarados Changes","en","26","2020-05-09T22:58:44+00:00"
"88211fd5-78df-4297-91f4-0f45f27044ad","882b1e22-ac83-4613-b8f1-7c48138fa584","25","4","Flabébé Blooms","en","31","2020-05-09T23:06:56+00:00"
"c741ce36-ab09-441c-a32b-6c6ff75f1e69","882b1e22-ac83-4613-b8f1-7c48138fa584","24","4","Pyroar Breathes","en","26","2020-05-09T23:03:13+00:00"
"191daf19-7f68-4567-bb92-04537e4df9d2","882b1e22-ac83-4613-b8f1-7c48138fa584","1","1","","en","32","2018-04-10T22:47:35+00:00"
"cdc77f2e-738a-40e3-b9df-f5f2e3995fee","882b1e22-ac83-4613-b8f1-7c48138fa584","26","4","Rhyhorn Charges","en","26","2020-05-09T23:10:56+00:00"
"ce8ea90b-4b87-4a7c-bc0d-7ceba88a31a0","882b1e22-ac83-4613-b8f1-7c48138fa584","18","2","Gathering Klefki","en","29","2020-05-09T22:43:33+00:00"
"bc9855af-eeb5-423f-a3ac-a88113516547","882b1e22-ac83-4613-b8f1-7c48138fa584","39","6","","en","26","2018-04-10T22:43:52+00:00"
"d71218b7-d6ad-46ee-97a1-da452ffe8b26","882b1e22-ac83-4613-b8f1-7c48138fa584","31","5","","en","25","2018-04-10T22:42:47+00:00"
"f4936b52-8bab-48e7-b254-a0c645ab426e","882b1e22-ac83-4613-b8f1-7c48138fa584","30","5","","en","25","2018-04-10T22:48:30+00:00"
"e4aab940-f8ba-4bfb-8400-0879fe0fda51","882b1e22-ac83-4613-b8f1-7c48138fa584","15","2","Dancing Vivillon","en","30","2020-05-09T22:32:58+00:00"
"0dcb4e42-01c9-4a17-811f-5884dca3d2cd","882b1e22-ac83-4613-b8f1-7c48138fa584","8","2","What Does Charmander Do When It Dozes?","en","30","2020-05-09T16:28:37+00:00"
"c3e3f0b9-e1dd-460e-944a-9cadcc63225b","882b1e22-ac83-4613-b8f1-7c48138fa584","5","1","","en","27","2018-04-10T22:48:48+00:00"
"05368acf-56d2-423f-b309-338d3ceb391d","882b1e22-ac83-4613-b8f1-7c48138fa584","3","1","","en","26","2018-04-10T22:48:08+00:00"
"37ad7d0a-fff2-4a4a-9876-b5c1db21245e","882b1e22-ac83-4613-b8f1-7c48138fa584","19","3","Tying Trevenant","en","26","2020-05-09T22:47:30+00:00"
"787dd03d-1a16-419d-ab2a-2cdbec91a67b","882b1e22-ac83-4613-b8f1-7c48138fa584","22","4","Quilladin Stands","en","32","2020-05-09T22:54:31+00:00"
"57bac464-7e67-4f68-88d8-98b7287db97f","882b1e22-ac83-4613-b8f1-7c48138fa584","16","2","Burning Fletchinder","en","25","2020-05-09T22:37:47+00:00"
